"cd_mun","date","dengue"
150010,"2020-11-23",0
150080,"2020-11-23",0
150110,"2020-11-23",0
150120,"2020-11-23",0
150130,"2020-11-23",0
150140,"2020-11-23",0.53
150150,"2020-11-23",0
150178,"2020-11-23",0
150210,"2020-11-23",0
150309,"2020-11-23",0
150330,"2020-11-23",0
150380,"2020-11-23",0
150400,"2020-11-23",0
150442,"2020-11-23",0
150460,"2020-11-23",0
150470,"2020-11-23",0
150506,"2020-11-23",0
150520,"2020-11-23",0
150635,"2020-11-23",0
150795,"2020-11-23",0
150810,"2020-11-23",0
150010,"2020-11-30",0
150080,"2020-11-30",0
150110,"2020-11-30",0
150120,"2020-11-30",0
150130,"2020-11-30",0
150140,"2020-11-30",0.4
150150,"2020-11-30",0
150178,"2020-11-30",0
150210,"2020-11-30",0
150309,"2020-11-30",0
150330,"2020-11-30",0
150380,"2020-11-30",0
150400,"2020-11-30",0
150442,"2020-11-30",0.75
150460,"2020-11-30",0
150470,"2020-11-30",0
150506,"2020-11-30",0
150520,"2020-11-30",0
150635,"2020-11-30",0
150795,"2020-11-30",0
150810,"2020-11-30",0
150010,"2020-12-07",0
150080,"2020-12-07",0
150110,"2020-12-07",0
150120,"2020-12-07",0
150130,"2020-12-07",0
150140,"2020-12-07",0.4
150150,"2020-12-07",0
150178,"2020-12-07",0
150210,"2020-12-07",0
150309,"2020-12-07",0
150330,"2020-12-07",0
150380,"2020-12-07",0
150400,"2020-12-07",0
150442,"2020-12-07",0
150460,"2020-12-07",0
150470,"2020-12-07",0
150506,"2020-12-07",0
150520,"2020-12-07",0
150635,"2020-12-07",0
150795,"2020-12-07",0
150810,"2020-12-07",0
150010,"2020-12-14",0
150080,"2020-12-14",0
150110,"2020-12-14",0
150120,"2020-12-14",0
150130,"2020-12-14",0.79
150140,"2020-12-14",0.33
150150,"2020-12-14",0
150178,"2020-12-14",0
150210,"2020-12-14",0
150309,"2020-12-14",0
150330,"2020-12-14",0
150380,"2020-12-14",0
150400,"2020-12-14",0
150442,"2020-12-14",0
150460,"2020-12-14",0
150470,"2020-12-14",0
150506,"2020-12-14",0
150520,"2020-12-14",0
150635,"2020-12-14",0
150795,"2020-12-14",0
150810,"2020-12-14",0
150010,"2020-12-21",0
150080,"2020-12-21",0
150110,"2020-12-21",0
150120,"2020-12-21",0
